city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),populacao_estimada,rent amount (R$)
São Paulo,150,3,3,3,0,1,0,100,11904961,4600
São Paulo,515,5,4,3,5,1,0,5600,11904961,15000
Porto Alegre,91,2,1,0,2,1,0,316,1388794,1350
São Paulo,161,3,3,3,23,1,1,2000,11904961,15000
São Paulo,64,2,1,1,2,1,0,500,11904961,1400
Porto Alegre,59,1,1,1,12,1,0,300,1388794,2200
Belo Horizonte,150,4,4,4,12,1,0,890,2415872,4200
São Paulo,90,3,4,2,9,1,1,1200,11904961,5500
Rio de Janeiro,30,1,1,0,5,1,0,653,6730729,1800
São Paulo,127,2,3,1,0,1,0,0,11904961,3200
São Paulo,48,1,1,1,2,0,0,867,11904961,2300
São Paulo,90,2,2,1,0,0,0,0,11904961,4500
São Paulo,82,2,1,1,5,1,0,1060,11904961,3300
São Paulo,66,2,2,2,15,1,0,580,11904961,2500
São Paulo,81,3,1,1,3,1,0,900,11904961,2800
São Paulo,170,3,3,3,0,1,0,0,11904961,4200
Belo Horizonte,280,4,7,4,6,0,0,350,2415872,3000
Belo Horizonte,70,2,1,1,2,1,0,250,2415872,1400
Porto Alegre,69,2,2,2,10,1,0,670,1388794,2500
Belo Horizonte,143,3,2,3,11,0,0,680,2415872,2500
São Paulo,50,1,1,0,0,0,0,0,11904961,1250
Campinas,102,3,2,0,15,1,0,918,1187974,2500
São Paulo,60,2,1,0,0,1,0,0,11904961,1200
Campinas,265,3,3,2,0,1,0,0,1187974,2400
Rio de Janeiro,76,2,1,1,3,1,0,1353,6730729,2750
São Paulo,96,3,2,2,14,0,1,1122,11904961,8500
São Paulo,70,2,1,1,7,1,1,467,11904961,1800
São Paulo,140,3,4,2,11,1,1,1750,11904961,12000
São Paulo,81,2,1,1,3,0,0,710,11904961,2810
Porto Alegre,52,2,1,0,2,1,0,380,1388794,1500
São Paulo,298,5,3,3,0,1,0,0,11904961,8000
Porto Alegre,70,2,2,2,9,1,0,535,1388794,1600
São Paulo,92,2,1,1,2,1,0,425,11904961,1536
Rio de Janeiro,190,4,3,2,17,1,1,2500,6730729,9300
Porto Alegre,42,1,1,0,10,1,0,32000,1388794,700
São Paulo,40,1,1,1,6,0,0,765,11904961,2500
Rio de Janeiro,312,4,4,3,13,1,0,4000,6730729,15000
São Paulo,106,2,1,2,0,0,0,0,11904961,2100
Campinas,110,3,3,2,0,1,0,560,1187974,3700
São Paulo,384,5,5,3,13,1,0,4000,11904961,8000
Porto Alegre,69,2,1,0,2,1,0,240,1388794,1200
São Paulo,82,2,2,0,13,1,1,800,11904961,4500
Belo Horizonte,500,7,6,3,0,1,0,0,2415872,15000
São Paulo,130,3,2,1,12,1,0,1267,11904961,4500
São Paulo,55,1,1,0,0,1,0,0,11904961,1500
São Paulo,170,4,4,2,4,0,0,1411,11904961,2800
Campinas,183,4,2,0,0,1,0,920,1187974,2400
São Paulo,336,3,5,3,0,1,1,299,11904961,6000
São Paulo,40,1,1,0,3,1,1,350,11904961,1700
Belo Horizonte,45,3,1,0,0,1,0,0,2415872,1300
Rio de Janeiro,180,3,3,0,0,1,0,20,6730729,2550
São Paulo,23,1,1,0,23,1,0,399,11904961,2100
Porto Alegre,53,1,1,0,2,1,0,277,1388794,500
São Paulo,100,2,2,1,6,1,0,1050,11904961,4000
São Paulo,400,4,5,4,8,1,1,3884,11904961,8700
Rio de Janeiro,92,1,3,1,10,0,0,1450,6730729,2720
Belo Horizonte,420,6,4,0,5,1,0,927,2415872,3500
Rio de Janeiro,78,3,1,1,14,0,1,900,6730729,2800
São Paulo,70,2,1,1,11,0,1,500,11904961,1800
Campinas,500,6,5,8,0,1,0,0,1187974,8000
São Paulo,130,3,4,2,3,0,1,2500,11904961,2000
Rio de Janeiro,24,1,1,0,12,0,0,445,6730729,2000
São Paulo,125,2,1,1,11,1,0,700,11904961,2000
São Paulo,242,3,4,2,2,1,0,2200,11904961,4500
São Paulo,69,3,1,1,1,1,0,413,11904961,1199
São Paulo,135,2,2,1,8,1,1,1063,11904961,3250
Belo Horizonte,43,2,1,1,2,1,0,199,2415872,620
São Paulo,565,4,5,6,0,1,1,2337,11904961,14850
Porto Alegre,62,2,1,1,6,0,0,485,1388794,1296
Belo Horizonte,112,4,1,2,0,1,0,0,2415872,1900
São Paulo,31,1,1,1,14,1,0,478,11904961,2500
São Paulo,89,3,3,0,9,1,1,990,11904961,3550
Porto Alegre,100,2,2,0,0,1,0,0,1388794,2200
São Paulo,65,2,1,0,24,1,1,650,11904961,6000
Campinas,60,3,2,0,2,1,0,350,1187974,2362
Porto Alegre,75,3,2,1,3,0,1,450,1388794,1950
Porto Alegre,41,1,1,1,2,1,0,540,1388794,1150
São Paulo,100,2,1,0,1,1,1,765,11904961,3300
São Paulo,288,3,2,2,0,1,0,0,11904961,3700
São Paulo,400,5,6,0,0,1,0,0,11904961,5200
São Paulo,240,3,2,1,0,1,0,0,11904961,15000
São Paulo,80,1,1,1,0,1,0,0,11904961,1150
Campinas,43,2,1,1,0,1,0,274,1187974,1000
São Paulo,25,1,1,0,1,0,0,0,11904961,1200
São Paulo,49,2,1,1,17,0,1,665,11904961,2000
São Paulo,40,1,1,0,0,0,0,0,11904961,970
Porto Alegre,71,2,1,0,2,1,0,0,1388794,1500
São Paulo,50,2,1,0,10,1,0,450,11904961,1430
São Paulo,44,1,1,0,0,1,1,0,11904961,1800
São Paulo,400,4,2,8,0,1,0,0,11904961,7200
Porto Alegre,225,3,3,2,3,1,0,1100,1388794,3800
Rio de Janeiro,82,3,2,2,4,1,0,967,6730729,2200
São Paulo,102,3,1,1,0,1,0,0,11904961,1760
Porto Alegre,981,3,2,4,0,1,1,0,1388794,7000
São Paulo,230,3,4,0,16,1,1,1700,11904961,3000
São Paulo,280,3,4,3,3,1,0,1717,11904961,5200
São Paulo,69,3,1,1,8,1,0,650,11904961,1350
Rio de Janeiro,58,1,2,0,5,1,0,700,6730729,1600
Campinas,58,1,1,0,3,1,0,500,1187974,1050
Campinas,64,2,1,1,0,1,0,441,1187974,730
São Paulo,84,3,1,1,6,1,0,670,11904961,2180
Rio de Janeiro,35,1,1,0,7,0,0,450,6730729,1100
Rio de Janeiro,78,2,1,0,5,1,0,850,6730729,1600
São Paulo,55,2,1,2,4,0,0,780,11904961,980
São Paulo,250,4,5,4,5,1,1,3500,11904961,15000
Rio de Janeiro,110,3,2,0,7,0,0,1100,6730729,4860
São Paulo,206,2,1,3,0,1,0,0,11904961,3500
São Paulo,150,3,4,1,0,1,0,0,11904961,4250
São Paulo,180,4,3,2,11,1,1,1880,11904961,9000
São Paulo,330,4,5,4,0,1,0,0,11904961,6500
São Paulo,68,1,1,0,0,0,0,0,11904961,1100
São Paulo,280,4,4,4,6,0,1,3200,11904961,6000
Campinas,85,3,2,1,7,1,0,915,1187974,1500
São Paulo,55,2,1,0,1,1,0,340,11904961,1530
São Paulo,90,3,2,1,13,0,0,1100,11904961,2800
Belo Horizonte,96,3,1,1,0,0,0,0,2415872,1200
Belo Horizonte,250,4,1,8,0,1,0,0,2415872,2125
Porto Alegre,80,2,2,1,2,1,0,500,1388794,1800
Porto Alegre,41,1,2,1,9,1,0,400,1388794,2800
São Paulo,75,2,1,3,5,0,0,700,11904961,2500
São Paulo,800,7,7,8,0,1,0,0,11904961,9000
Rio de Janeiro,45,1,1,0,5,1,0,750,6730729,1000
São Paulo,74,2,2,2,17,1,0,1000,11904961,5000
Belo Horizonte,160,4,3,2,0,1,0,0,2415872,3700
São Paulo,50,1,1,0,3,1,0,400,11904961,1500
São Paulo,126,2,3,1,9,1,1,2000,11904961,10000
Rio de Janeiro,65,1,1,1,6,0,1,1100,6730729,4000
São Paulo,120,3,2,2,8,1,0,740,11904961,4000
Belo Horizonte,150,4,2,2,8,1,0,730,2415872,4200
Campinas,76,1,1,1,1,0,1,969,1187974,2500
São Paulo,226,4,5,4,1,1,0,4360,11904961,15000
Campinas,154,3,3,1,14,0,0,1700,1187974,6500
São Paulo,56,2,2,2,1,1,0,480,11904961,1630
Belo Horizonte,212,3,5,4,0,1,0,0,2415872,4200
São Paulo,62,3,2,1,4,1,0,400,11904961,1300
Rio de Janeiro,80,2,2,2,3,0,0,4200,6730729,7800
São Paulo,420,4,4,4,7,1,0,6000,11904961,12000
Porto Alegre,32,1,1,0,0,1,1,230,1388794,750
São Paulo,30,1,1,1,9,0,0,0,11904961,3000
Campinas,70,2,2,0,5,0,0,0,1187974,1000
São Paulo,200,3,3,2,0,0,0,0,11904961,6000
São Paulo,25,1,1,0,2,1,0,105,11904961,1330
São Paulo,42,1,1,1,9,1,1,768,11904961,3696
São Paulo,135,3,3,2,1,1,1,1650,11904961,4250
Porto Alegre,47,1,1,0,3,1,0,250,1388794,900
Porto Alegre,35,1,1,0,3,1,1,200,1388794,880
São Paulo,75,3,2,0,12,0,1,800,11904961,2236
São Paulo,300,2,2,0,0,1,1,0,11904961,3000
São Paulo,45,1,1,1,14,0,1,2200,11904961,2300
Belo Horizonte,850,5,7,8,0,1,0,0,2415872,10000
Porto Alegre,140,3,2,2,3,1,0,686,1388794,3000
São Paulo,60,2,1,0,0,0,0,0,11904961,1222
Campinas,150,4,5,2,1,1,0,1100,1187974,2860
São Paulo,160,3,2,1,1,1,0,185,11904961,7693
São Paulo,334,3,3,8,0,1,0,0,11904961,8600
São Paulo,330,4,3,0,0,1,0,0,11904961,9800
Porto Alegre,38,1,1,0,4,1,1,190,1388794,1800
Belo Horizonte,280,4,7,4,6,0,0,350,2415872,3000
São Paulo,200,3,3,2,12,1,0,2000,11904961,6500
São Paulo,100,4,5,2,7,1,0,2400,11904961,8500
Rio de Janeiro,80,2,1,0,2,1,1,515,6730729,1400
São Paulo,267,3,6,6,0,1,0,0,11904961,4800
Rio de Janeiro,130,3,1,1,2,1,0,1000,6730729,3500
Belo Horizonte,70,2,3,1,12,1,1,700,2415872,2450
São Paulo,213,3,5,5,10,1,0,3800,11904961,6200
São Paulo,35,1,1,0,0,0,0,0,11904961,780
Belo Horizonte,312,4,5,4,15,1,0,3150,2415872,15000
São Paulo,160,3,4,3,4,1,0,2087,11904961,2500
São Paulo,22,1,1,0,26,1,0,295,11904961,2000
São Paulo,400,4,4,3,1,1,1,3000,11904961,10000
São Paulo,45,1,2,1,11,1,0,495,11904961,2100
São Paulo,237,4,4,0,13,0,0,3168,11904961,8000
São Paulo,180,3,3,0,0,1,0,0,11904961,13000
São Paulo,30,1,1,0,2,0,0,349,11904961,1805
São Paulo,13,1,1,0,2,1,0,0,11904961,2200
São Paulo,140,4,4,2,0,1,1,0,11904961,6800
Belo Horizonte,62,2,1,1,3,1,0,100,2415872,1050
Rio de Janeiro,76,2,1,0,3,1,0,625,6730729,1000
São Paulo,220,3,4,4,15,1,0,1587,11904961,4250
Campinas,143,3,3,2,6,1,0,1600,1187974,3300
Campinas,44,2,1,0,2,1,0,272,1187974,650
São Paulo,90,3,2,1,10,1,0,934,11904961,1450
Belo Horizonte,190,4,3,3,10,1,1,1384,2415872,4800
São Paulo,79,2,3,1,14,1,0,2500,11904961,3100
São Paulo,45,1,1,2,8,1,0,695,11904961,1800
Campinas,73,3,2,2,17,1,0,570,1187974,2400
São Paulo,168,3,4,5,7,1,1,1610,11904961,3600
São Paulo,95,3,2,3,20,0,0,687,11904961,2500
Porto Alegre,180,2,2,1,4,1,0,170,1388794,2001
Porto Alegre,65,2,2,0,5,0,0,485,1388794,1390
Belo Horizonte,110,4,2,0,0,1,0,0,2415872,1850
São Paulo,58,1,1,1,13,1,1,750,11904961,4700
Belo Horizonte,15,1,1,0,0,1,0,45,2415872,665
São Paulo,213,4,3,5,0,1,0,0,11904961,3900
São Paulo,162,4,4,3,7,0,0,1500,11904961,5500
São Paulo,49,1,1,0,12,0,1,443,11904961,3800
São Paulo,32,1,1,0,2,1,0,0,11904961,1400
Belo Horizonte,78,3,2,2,16,1,0,875,2415872,2300
Porto Alegre,240,4,4,2,0,1,0,0,1388794,5000
Campinas,150,3,2,1,0,1,0,0,1187974,1320
Belo Horizonte,60,2,1,1,2,1,0,275,2415872,1200
Belo Horizonte,160,3,2,3,4,0,0,460,2415872,3500
São Paulo,74,2,2,2,7,1,0,1100,11904961,3400
São Paulo,280,4,4,8,0,1,0,0,11904961,7040
Porto Alegre,42,1,1,0,6,0,0,320,1388794,850
Porto Alegre,102,3,2,5,0,1,0,0,1388794,2975
São Paulo,123,3,2,2,11,1,0,1342,11904961,2174
Porto Alegre,50,2,1,1,0,1,0,0,1388794,1000
São Paulo,125,3,2,2,0,1,0,0,11904961,1700
Porto Alegre,240,3,2,4,0,1,0,0,1388794,5500
São Paulo,85,3,2,3,3,1,1,1100,11904961,1999
Belo Horizonte,260,4,5,4,5,1,0,2405,2415872,15000
São Paulo,22,1,1,0,0,0,0,0,11904961,870
São Paulo,278,3,2,1,11,1,0,2640,11904961,7800
São Paulo,18,1,1,0,8,1,0,400,11904961,1130
Rio de Janeiro,196,3,4,1,11,1,0,1500,6730729,5500
São Paulo,26,1,1,0,3,1,0,200,11904961,3500
São Paulo,100,4,2,2,0,1,0,0,11904961,3500
São Paulo,460,4,3,6,8,1,0,4400,11904961,10000
São Paulo,189,4,3,2,5,0,1,2300,11904961,6500
São Paulo,226,3,3,0,0,1,1,0,11904961,6000
São Paulo,418,2,4,3,17,0,0,5274,11904961,6875
Campinas,660,5,5,4,0,1,0,1400,1187974,5000
Campinas,120,1,2,1,0,1,0,0,1187974,1112
São Paulo,70,2,1,1,1,1,0,484,11904961,1100
São Paulo,400,10,5,8,0,1,0,0,11904961,10900
Campinas,82,3,3,2,4,1,0,550,1187974,1500
São Paulo,210,3,4,4,11,1,1,2000,11904961,15000
São Paulo,92,3,2,2,11,1,0,660,11904961,1900
Belo Horizonte,64,3,1,0,3,0,0,215,2415872,1400
Porto Alegre,35,2,1,0,1,0,1,0,1388794,1350
São Paulo,120,2,2,2,0,1,0,0,11904961,2690
São Paulo,16,1,1,0,1,0,0,0,11904961,1200
Porto Alegre,60,2,1,0,2,1,0,300,1388794,950
Campinas,223,3,5,2,2,1,0,1400,1187974,3300
São Paulo,50,1,1,0,0,0,0,0,11904961,800
Porto Alegre,30,1,1,0,5,1,0,400,1388794,940
São Paulo,111,2,2,1,14,0,0,1400,11904961,3500
São Paulo,290,4,3,2,1,0,1,2890,11904961,7150
Campinas,80,3,1,1,1,1,0,380,1187974,1328
São Paulo,353,4,5,5,46,1,0,3000,11904961,10000
São Paulo,55,2,1,1,18,1,0,635,11904961,1990
Campinas,49,2,1,1,1,1,0,263,1187974,1000
Rio de Janeiro,50,2,1,0,4,1,0,450,6730729,850
São Paulo,182,4,4,2,10,1,0,2965,11904961,6000
São Paulo,42,1,1,1,9,1,1,565,11904961,3800
São Paulo,500,5,7,5,22,1,0,5500,11904961,14000
São Paulo,56,1,1,0,0,0,0,0,11904961,1200
Rio de Janeiro,170,3,2,1,9,1,0,2000,6730729,4600
São Paulo,160,3,3,2,8,1,0,2000,11904961,5000
São Paulo,70,1,1,2,0,1,0,0,11904961,1300
Campinas,120,2,1,4,0,1,0,0,1187974,2400
Rio de Janeiro,65,2,1,1,3,1,1,550,6730729,1650
São Paulo,300,4,4,6,7,0,1,4000,11904961,5500
São Paulo,140,3,2,2,8,1,1,1050,11904961,12000
São Paulo,108,2,3,2,0,1,0,450,11904961,2100
Porto Alegre,220,3,3,4,0,1,0,0,1388794,2500
São Paulo,157,3,3,4,19,1,0,1300,11904961,4900
São Paulo,101,3,4,2,5,1,0,1300,11904961,3120
São Paulo,87,3,2,4,14,1,0,800,11904961,2000
Campinas,123,3,2,2,13,1,0,834,1187974,2000
São Paulo,67,1,2,1,12,1,1,815,11904961,2479
São Paulo,200,3,3,8,0,1,0,0,11904961,4480
São Paulo,48,2,1,1,8,1,0,545,11904961,1720
Belo Horizonte,51,2,1,1,2,1,0,260,2415872,700
São Paulo,54,2,1,1,5,0,0,245,11904961,1300
São Paulo,280,3,3,2,9,1,1,3000,11904961,5650
São Paulo,172,3,4,3,5,1,1,1650,11904961,7800
São Paulo,136,3,2,2,13,1,1,1259,11904961,15000
São Paulo,300,4,2,0,5,1,0,6000,11904961,15000
São Paulo,26,1,1,0,6,1,1,250,11904961,2300
Rio de Janeiro,52,1,1,0,2,1,0,477,6730729,1172
Rio de Janeiro,72,2,2,1,5,1,0,500,6730729,1200
Rio de Janeiro,240,3,3,1,8,1,1,2300,6730729,7000
São Paulo,100,3,2,6,0,1,0,0,11904961,7500
Rio de Janeiro,145,3,3,2,4,0,0,4000,6730729,11960
São Paulo,60,2,2,2,0,1,0,165,11904961,1950
Porto Alegre,260,2,2,1,3,1,0,170,1388794,2000
Belo Horizonte,28,1,1,0,0,0,1,550,2415872,1100
Campinas,25,1,1,0,3,0,0,300,1187974,1000
São Paulo,45,2,1,1,9,1,0,300,11904961,1920
Belo Horizonte,115,3,2,2,3,1,0,450,2415872,1950
Porto Alegre,48,2,1,0,4,1,0,468,1388794,800
São Paulo,150,3,3,8,0,1,0,0,11904961,8000
São Paulo,160,4,3,2,0,1,0,0,11904961,3800
São Paulo,700,4,4,4,0,1,0,0,11904961,10000
São Paulo,340,4,6,4,11,0,0,4800,11904961,7650
Rio de Janeiro,25,1,1,0,3,1,0,561,6730729,1513
São Paulo,79,3,2,2,11,1,0,652,11904961,1290
São Paulo,35,1,1,1,2,1,0,530,11904961,1600
São Paulo,270,3,4,0,1,1,0,0,11904961,3500
São Paulo,156,3,4,3,7,0,0,1417,11904961,5000
São Paulo,50,1,1,1,8,1,1,600,11904961,2800
São Paulo,60,1,1,2,2,0,0,3398,11904961,1900
São Paulo,140,3,4,3,18,1,0,1100,11904961,4000
São Paulo,53,1,1,0,2,0,0,170,11904961,1680
São Paulo,200,4,4,4,0,1,0,0,11904961,4220
Belo Horizonte,125,4,2,2,1,0,0,1100,2415872,2100
São Paulo,160,3,4,3,0,1,1,0,11904961,9350
Campinas,300,4,5,3,9,1,0,1650,1187974,9500
Belo Horizonte,175,3,3,2,4,1,1,400,2415872,3700
Rio de Janeiro,158,3,2,2,14,1,1,2000,6730729,8000
Rio de Janeiro,110,3,2,1,4,1,0,1200,6730729,2850
São Paulo,168,3,2,2,0,1,0,0,11904961,2500
São Paulo,120,3,1,2,0,0,0,0,11904961,3500
Belo Horizonte,230,4,3,4,7,1,1,3100,2415872,15000
São Paulo,255,3,4,2,10,1,1,2600,11904961,6000
São Paulo,23,1,1,1,26,1,0,472,11904961,2300
São Paulo,120,3,2,1,1,0,0,870,11904961,2500
Belo Horizonte,154,3,2,1,1,1,0,300,2415872,2000
Rio de Janeiro,50,1,1,1,13,0,1,0,6730729,4520
Rio de Janeiro,104,3,2,2,4,1,1,1549,6730729,7000
São Paulo,50,2,1,1,9,1,0,978,11904961,2430
Porto Alegre,75,2,2,1,6,1,0,383,1388794,1400
São Paulo,145,3,2,1,2,1,1,1017,11904961,2000
São Paulo,211,3,5,3,12,1,1,2500,11904961,7000
São Paulo,30,1,1,0,2,0,0,0,11904961,2060
Campinas,170,4,3,1,10,0,0,1470,1187974,3700
São Paulo,86,2,2,1,4,1,0,690,11904961,1900
Rio de Janeiro,230,3,4,3,10,1,0,2000,6730729,3000
São Paulo,61,1,2,2,1,0,1,2200,11904961,4000
São Paulo,383,4,4,5,11,0,0,2189,11904961,3004
São Paulo,210,3,3,0,0,1,0,0,11904961,5500
São Paulo,60,2,2,1,14,0,1,916,11904961,5650
São Paulo,213,4,6,4,1,1,1,3200,11904961,8500
Porto Alegre,93,2,2,3,6,1,1,873,1388794,3900
São Paulo,50,1,1,1,20,0,1,781,11904961,5300
São Paulo,149,2,3,3,21,1,0,1603,11904961,4500
São Paulo,410,4,5,5,1,1,0,0,11904961,20000
São Paulo,40,1,1,1,14,1,1,474,11904961,3175
Rio de Janeiro,46,1,1,0,11,1,1,659,6730729,1500
São Paulo,378,4,4,8,0,1,1,0,11904961,10000
São Paulo,60,2,2,2,11,1,1,760,11904961,3800
Rio de Janeiro,180,2,3,1,3,1,1,2500,6730729,8500
Belo Horizonte,70,2,2,2,1,0,0,300,2415872,1450
São Paulo,68,2,1,1,9,1,0,0,11904961,2100
Rio de Janeiro,85,2,2,1,4,1,0,763,6730729,1800
Belo Horizonte,140,4,2,2,2,1,0,450,2415872,2281
Belo Horizonte,52,2,2,1,2,0,0,360,2415872,1650
Porto Alegre,63,2,2,0,7,0,1,400,1388794,2600
São Paulo,65,2,2,2,13,1,1,1084,11904961,3300
Belo Horizonte,60,3,1,1,1,1,0,348,2415872,950
Belo Horizonte,27,1,1,0,2,0,0,0,2415872,1167
São Paulo,260,4,4,3,11,0,0,3500,11904961,15000
São Paulo,44,1,1,1,13,1,0,400,11904961,1200
São Paulo,170,3,3,2,0,1,0,0,11904961,4850
São Paulo,118,3,2,1,11,0,0,1116,11904961,4775
São Paulo,114,3,2,2,9,1,0,900,11904961,3780
Belo Horizonte,154,4,2,2,2,1,0,1465,2415872,2800
Rio de Janeiro,108,3,1,1,3,0,1,2300,6730729,15000
São Paulo,147,3,2,2,4,1,1,1313,11904961,3600
São Paulo,365,3,4,3,15,1,0,3700,11904961,12000
Porto Alegre,109,3,2,1,2,1,1,681,1388794,2423
Belo Horizonte,148,3,3,2,3,1,1,284,2415872,2500
São Paulo,250,3,4,2,0,1,0,0,11904961,6000
Campinas,79,2,1,1,3,0,0,245,1187974,1000
Rio de Janeiro,66,2,1,1,9,1,0,997,6730729,2400
Campinas,54,1,1,1,6,0,0,0,1187974,1370
Campinas,87,3,1,1,6,1,0,730,1187974,1200
São Paulo,640,4,4,4,12,1,1,5400,11904961,10200
São Paulo,71,2,1,0,3,1,1,613,11904961,1040
São Paulo,35,1,1,1,6,0,1,886,11904961,1250
São Paulo,57,2,2,1,2,0,1,584,11904961,2300
São Paulo,38,1,1,0,8,0,0,480,11904961,1220
Rio de Janeiro,70,2,2,1,3,1,0,990,6730729,3700
São Paulo,350,2,4,8,0,0,0,0,11904961,3300
Rio de Janeiro,300,4,3,2,5,0,1,2500,6730729,12000
Porto Alegre,80,2,2,0,8,1,0,430,1388794,1320
Rio de Janeiro,160,3,3,1,4,1,0,1050,6730729,2900
Porto Alegre,117,3,2,2,10,1,0,1564,1388794,5500
Porto Alegre,112,3,2,2,3,1,1,800,1388794,4100
Rio de Janeiro,100,2,2,1,0,1,0,0,6730729,1870
Rio de Janeiro,160,4,2,1,2,1,0,1500,6730729,4230
Porto Alegre,68,2,1,0,3,1,0,270,1388794,700
São Paulo,530,4,4,4,4,0,0,3857,11904961,5000
São Paulo,210,3,2,2,0,1,1,0,11904961,3500
Rio de Janeiro,33,1,1,0,8,0,1,600,6730729,3300
São Paulo,40,2,1,0,3,1,0,348,11904961,1100
Belo Horizonte,200,5,5,8,0,1,0,0,2415872,6000
São Paulo,58,2,1,2,10,1,0,383,11904961,1360
São Paulo,120,3,3,2,6,1,0,1800,11904961,3400
São Paulo,162,3,4,0,0,1,0,0,11904961,3200
São Paulo,301,4,5,4,3,1,1,4265,11904961,12500
São Paulo,40,1,1,0,1,0,0,150,11904961,1800
Rio de Janeiro,135,3,2,1,2,1,0,1940,6730729,3060
São Paulo,135,3,2,1,4,1,0,1378,11904961,3290
Porto Alegre,102,3,2,2,8,1,1,1125,1388794,5525
São Paulo,76,2,2,2,6,1,0,978,11904961,1400
São Paulo,180,4,1,1,13,1,0,2420,11904961,8500
Belo Horizonte,72,2,2,1,0,1,0,0,2415872,1250
São Paulo,128,2,3,1,4,1,0,755,11904961,4339
São Paulo,44,1,1,0,4,1,1,450,11904961,2500
São Paulo,189,3,3,1,12,1,0,2143,11904961,5800
Porto Alegre,450,6,2,8,0,1,0,0,1388794,4000
São Paulo,286,4,4,5,0,1,0,0,11904961,10800
São Paulo,276,4,6,4,10,1,1,3450,11904961,4500
São Paulo,60,1,2,1,9,0,1,844,11904961,3800
São Paulo,40,1,1,0,0,0,0,0,11904961,880
Rio de Janeiro,57,2,2,1,4,1,0,600,6730729,1800
Campinas,45,1,1,1,3,1,0,521,1187974,600
São Paulo,42,1,1,1,12,0,1,712,11904961,3500
Rio de Janeiro,68,2,1,1,2,1,0,560,6730729,1100
Rio de Janeiro,120,3,2,1,4,1,0,1650,6730729,4800
São Paulo,360,4,4,2,4,1,0,3340,11904961,11050
São Paulo,140,2,1,0,0,1,0,0,11904961,1650
São Paulo,16,1,1,0,1,0,0,0,11904961,910
Campinas,110,3,1,1,13,1,0,780,1187974,1100
Campinas,69,2,1,1,7,0,0,485,1187974,980
Belo Horizonte,59,2,2,0,2,0,1,510,2415872,1400
São Paulo,336,4,4,6,0,1,0,0,11904961,7677
São Paulo,210,4,4,3,5,1,1,2800,11904961,5000
São Paulo,242,4,5,4,4,1,1,3270,11904961,12000
Porto Alegre,28,1,1,0,4,1,0,350,1388794,550
São Paulo,220,4,3,3,2,0,1,4208,11904961,9000
Porto Alegre,62,3,2,1,1,0,0,485,1388794,1629
Rio de Janeiro,111,3,2,2,11,1,1,1100,6730729,3500
Campinas,159,3,2,2,1,1,0,1000,1187974,2500
Rio de Janeiro,70,2,2,0,5,1,1,690,6730729,2250
São Paulo,150,3,2,2,2,1,0,1181,11904961,2000
São Paulo,50,1,1,1,17,1,1,776,11904961,4000
São Paulo,450,3,3,8,0,1,1,0,11904961,5015
Belo Horizonte,64,2,1,1,2,1,0,252,2415872,850
São Paulo,600,5,7,5,0,1,0,0,11904961,5200
São Paulo,70,1,1,0,8,1,0,430,11904961,3200
São Paulo,76,3,2,0,6,1,0,1160,11904961,1240
São Paulo,280,3,3,4,0,1,0,0,11904961,6520
São Paulo,172,2,4,3,23,1,0,1400,11904961,11000
São Paulo,246,3,4,4,3,1,1,3800,11904961,12000
São Paulo,64,2,1,1,8,1,0,400,11904961,1500
Belo Horizonte,30,1,1,0,2,0,0,0,2415872,550
São Paulo,80,3,2,1,0,1,0,0,11904961,2170
Rio de Janeiro,87,3,1,1,7,1,0,786,6730729,1800
Porto Alegre,50,1,1,1,7,1,0,250,1388794,800
Porto Alegre,50,1,1,0,6,1,0,400,1388794,800
São Paulo,30,1,1,0,0,0,0,0,11904961,1850
São Paulo,43,1,1,0,6,1,0,219,11904961,1472
São Paulo,300,3,4,0,0,1,1,0,11904961,10000
Campinas,58,1,2,1,10,0,0,850,1187974,750
São Paulo,30,1,1,1,14,0,0,1379,11904961,1660
São Paulo,54,2,1,0,2,0,0,571,11904961,1700
Rio de Janeiro,80,2,2,1,2,0,0,1050,6730729,3500
Porto Alegre,62,2,2,1,10,1,0,480,1388794,1600
Porto Alegre,66,2,2,0,3,1,0,550,1388794,1200
São Paulo,80,2,2,1,2,1,0,400,11904961,1500
São Paulo,560,4,4,7,2,1,0,8600,11904961,15000
São Paulo,30,1,1,1,5,1,1,500,11904961,3900
São Paulo,50,1,1,0,0,1,0,0,11904961,1600
Rio de Janeiro,81,2,2,1,8,1,1,615,6730729,3500
São Paulo,218,4,4,4,3,0,0,2488,11904961,4930
Campinas,54,2,1,2,6,1,0,300,1187974,1200
Rio de Janeiro,60,2,1,0,0,0,0,0,6730729,1200
Belo Horizonte,100,3,1,1,2,1,0,150,2415872,1200
São Paulo,156,2,3,2,8,1,1,2040,11904961,13590
São Paulo,300,3,4,3,1,1,1,3000,11904961,4000
São Paulo,39,1,1,1,3,0,1,680,11904961,2500
São Paulo,150,4,3,4,0,1,0,0,11904961,3000
São Paulo,140,2,3,4,10,1,1,2300,11904961,6170
São Paulo,240,4,4,3,1,1,0,2800,11904961,4200
São Paulo,70,2,1,0,0,1,0,0,11904961,1300
Campinas,462,4,7,4,0,1,0,0,1187974,5000
Campinas,67,3,1,1,1,0,0,351,1187974,890
Belo Horizonte,100,2,1,0,0,1,0,0,2415872,1200
